match_id	CLK1	CLK2	CLK3	CLK4	SRPK1	SRPK2	SRPK3	SRSF1	SRSF10	SRSF11	SRSF2	SRSF3	SRSF4	SRSF5	SRSF6	SRSF7	SRSF8	SRSF9	SRPK1 	SRPK2 	SRSF1 	SRSF10 	SRSF11 	SRSF2 	SRSF3 	SRSF4 	SRSF5 	SRSF6 	SRSF7 	SRSF8 	SRSF9 	SRPK1-S51	SRPK2-T41	SRSF1-S199	SRSF10-S131;S133;	SRSF10-S133	SRSF10-S156;S158;	SRSF10-S156;S158;S160;	SRSF10-S157	SRSF10-S158	SRSF10-S23	SRSF10-S252	SRSF11-S207	SRSF11-S440	SRSF11-S455	SRSF11-S462	SRSF11-S489	SRSF2-S101	SRSF2-S189;S191;	SRSF2-S191	SRSF2-S208	SRSF2-S208;S221;	SRSF2-S212	SRSF2-S221	SRSF2-S26	SRSF2-T25	SRSF3-S5	SRSF5-S233	SRSF6-S303	SRSF6-S314;S316;	SRSF8-S158	SRSF8-S191	SRSF8-S26	SRSF8-S273	SRSF8-S273;S282;	SRSF8-S282	SRSF9-S204	SRSF9-S211	SRSF9-S211;S216;	SRSF9-S216	Kids_First_Biospecimen_ID	IncLevel1	CLK1_201
PT_0DXHDZJR_7316-2857_Solid Tissue_Initial CNS Tumor	2.5777309314900805	3.3978029618624896	3.8982083525087177	2.0461417816447205	2.4356285940520905	5.679761573516853	-6.643856189774724	4.562547724199122	4.033863451866284	4.361768359419154	5.445594291341182	5.848247352704505	4.60229058486114	5.714795011118162	4.75702324650746	4.889960199658641	1.8953026213333068	5.835671479481623	0.2939968256395858	3.1643559593930792	0.9789664054857542	1.8123770235723524	0.9990001359154982	-0.2570323462753023	0.33019110136590624	1.7373589053925538	-0.6002220790651215	0.5169120505191026	1.2036498245089233	-0.7477043504908685	1.7955466771213668	1.0798976544312924	-0.46913969285125817	0.6925890009494953	0.4212058729516374	1.575242091744701	2.3212058839838465	2.311295585500904	-0.6824853598130175	1.1269431121433764	1.5954036644314384	1.1655198920978418	0.8228113294667599	1.4271804044887677	1.2225647278383727	1.05563542447531	0.2132083703506566	-0.8755743769614324	0.8660639082067388	-0.02542160259201787	0.16354361502425807	0.41493089842075054	0.17045103583021823	-0.47988650673070876	1.0711636818779386	0.9378986384822781	2.353342711252698	0.4346217589406462	-0.13887724947549654	0.247916300322809	-0.060167945102957955	2.399899880243129	0.7974790679430015	0.24419095965680757	0.728981742043851	0.7560274806849645	0.4366852834160297	1.1999565133052106	1.2955583043681207	-0.42862561774370656	BS_DS438CXE	0.57	0.25096157353321874
PT_0SPKM4S8_7316-2640_Solid Tissue_Initial CNS Tumor	4.984133594540979	4.428276414392509	4.604664415163704	3.581351247168777	3.533563348214512	4.532316959332765	0.22650852980867975	5.429950657403768	4.94673086014031	6.035843815994525	5.409390936137702	6.075318692553354	4.880685525261125	6.616769366293503	5.559491813205038	4.778208576398088	3.1076878693143732	5.620879611355415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_FX2P2WEG	0.8859999999999999	2.1858665453113337
PT_18QG3Z4H_7316-1052_Solid Tissue_Initial CNS Tumor	3.221877081077034	3.8914191868460786	3.8933622107638715	2.15704371014558	2.8011586560936985	4.900625332536066	-2.736965594166206	5.018812185742817	4.636334602442182	5.046578366620329	5.401220862160216	6.088523256616632	4.724650271732967	5.648465443027314	5.3269687115878925	4.428276414392509	4.076388068512841	5.459103696135399	1.3467094806242266	1.106617156385239	0.3196887393806391	0.7775275385829288	0.3043232239684232	0.6164257097826307	0.4882137302573897	1.1776462065657463	1.2401799291291054	0.6571067833704494	0.8216314524660553	1.2109275686442937	0.544805237665604	-0.44050843839672416	0.8542404559146655	0.29593078928234295	1.0448903589581544	0.8852399901570343	-1.055180910810337	-1.2056041066006578	0.6093866689838214	0.1931631251887479	0.9561067161150735	0.4778569573710804	0.7689598657002905	1.978596399538437	0.9489403045767756	-0.03820599557494477	0.09711422713512441	-0.33132194070986404	-0.4075010532510713	-0.30623935887816683	-0.5722030494137008	-0.08728340514992271	-0.6232954693790986	1.408667051119441	0.7708546643103452	0.3744883238651426	0.747622250047602	-0.834661577686223	-0.3214405529797652	-0.9146416184044888	0.24670698949249853	0.2952997388975304	1.5263817808284939	0.5671993681897392	1.6002762113627131	1.85427657348258	-0.533291429921481	-0.03862793585318441	0.6406535149077243	0.10847187788228865	BS_TGS109T3	0.49700000000000005	0.8155754288625726
PT_1FQFJ0V1_7316-5087_Solid Tissue_Initial CNS Tumor	2.9781956296816516	2.400537929583729	3.903038270112912	0.37851162325372983	2.584962500721156	4.649615459063409	-4.058893689053568	5.767389962065719	4.85897561429202	2.8972404255747994	5.301953395126096	4.2471680003747725	2.8135246892978105	3.929790997718597	5.375387026828883	4.204766750654613	4.076388068512841	6.3706874068072175	-1.6900961979000138	-1.248963230029327	-2.1127396574837825	-1.7312935201926958	-0.8390046684214137	-1.5129355220344578	-1.546681037545596	-1.0844657804309608	-1.9584209925854519	-0.43076188320214753	-1.582199461644832	-1.5581065882290681	-1.2295392772333034	-0.1907578787088631	-0.4631777341812231	-0.9195226892104352	-1.5006718566281945	-0.8077004280713547	0.32428094012007813	-1.2619306946580264	1.016903154110981	-0.13316624068090904	-1.1358800763841894	-1.2016680516315517	-0.3351245171770248	0.12144418293117056	0.2614880814090918	0.3206832530377706	-0.6286550063326739	-1.1591576161892423	-1.5405967803905338	-1.3652531685598845	-1.138511579302971	-1.7794609488418978	-1.2673763431678617	-1.5066384059081506	-0.4497025953650554	-0.7374326735647291	-0.2847958059830421	-0.7253811189776663	-0.2772913774194851	-1.4778881894464393	0.4129432815574087	0.7240682607610749	-1.2815520003438203	-2.3049348198358097	-1.487396219763832	-2.154802026569121	-0.44241702453370096	-1.2183853610768343	-0.29252305168016457	0.7435429216105923	BS_T2F48Z4E	0.794	1.4276061727818994
PT_2QZJ4T95_7316-715_Solid Tissue_Initial CNS Tumor	3.4449320489421824	2.807354922057604	3.258518924711301	1.2016338611696504	3.3909427728025427	4.626439136697315	-1.3584539709124763	5.536674617569758	4.8529975876133165	4.567423757707283	5.71699089440494	6.456806149230474	4.526694845541976	5.724923070266613	5.184280294419382	4.951867504326902	2.5921580021253603	5.79025073883523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_B1C6GZ84	0.718	1.7612852733616193
PT_30H1KV15_7316-1059_Solid Tissue_Initial CNS Tumor	4.740927560318628	4.424250286084049	3.838951766951943	2.7990873060740036	2.37851162325373	4.137503523749935	-0.2175914350726268	5.048759311919856	4.126807703142035	5.097610796626422	5.646738698307846	5.749266083814806	4.207892851641333	6.085976949073639	5.550900664647523	4.519164449806069	3.250961573533219	5.354381632113322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_C41DJZ1F	0.948	2.0942360698457656
PT_37B5JRP1_7316-2217_Solid Tissue_Initial CNS Tumor	4.067810783789621	3.465974464504069	3.130930869826449	2.584962500721156	1.6825732973475784	4.38404980679516	-1.286304185156641	5.204766750654613	4.325530331567558	4.813524689297811	5.209843230525496	5.582857034844238	4.598126959919604	5.712870867689905	4.429615964201735	4.38543103719352	2.9354597478052895	4.979110755015785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_M0QYNVK8	0.727	2.1731274334806563
PT_387VK1T9_7316-3625_Solid Tissue_Initial CNS Tumor	4.37920505996061	3.7803100990433753	3.486714373030702	3.1667154449664223	2.350497247084133	3.496973580998276	-2.321928094887362	4.794415866350106	4.1651079851445365	5.233811384293157	5.292781749227846	5.6915341649192	3.62760683812965	6.136888607903066	5.257387842692652	4.287620044112067	1.7865963618908067	5.581652530461277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_9XVACXP0	0.93	2.513490745588118
PT_3AWKWXEV_7316-85_Solid Tissue_Initial CNS Tumor	4.323370069061268	4.502075956045791	4.442280035252584	2.6712933724815757	3.3757345385831563	5.087887100933117	-1.3584539709124763	6.732404886784963	5.290940402403678	5.7554217347342425	6.855366852658264	6.832383716549127	5.032541697270038	7.617210310224668	6.7554217347342425	5.680886920719692	5.797531839571962	6.92362461136832	0.53393807664971	-1.0177434325740522	0.9500151594050824	1.0664394489474684	0.69107453808409125	-0.8070489539213765	1.5027424308305417	0.6163961209859435	1.231948322422867	0.8175243102476036	0.016737711366803937	2.0287434750080195	0.4448188987978614	-1.834854126843041	-0.22649602734917848	-0.10315991353113173	-0.8315215242964205	0.9354632317677722	-0.349387355888536	-0.6659138717139186	1.1553920691173072	-0.20956128717775302	-0.3164868509104027	2.3040480166336197	-1.4179097438192518	1.0008354954301535	-1.035524122403525	0.06886997633901962	0.9940621451324265	0.9854803316042787	0.8320554467878524	0.17855537587709455	0.8405403574324464	1.3467393031976878	1.186000546762836	2.164084614428779	-1.4789500910271955	-0.4629259401524633	0.9331462872896394	2.3910742739928326	1.8839796347677238	-8.127740789732526e-4	1.2148530779687536	0.1577374433926763	0.21091030104962105	-0.9515153718842742	0.9236826057929559	0.4425299255520464	0.862657179139879	-0.6631770276326289	-1.5649570452016388	0.039373314432179965	BS_SB12W1XT	0.604	2.2448870591235344
PT_3CHB9PK5_7316-515_Solid Tissue_Initial CNS Tumor	2.1043366598147357	2.765534746362977	3.1984941536390834	1.0976107966264224	2.0738202332916713	3.777156666004501	-1.2175914350726267	4.633431210355632	3.588564737401352	4.168321115739722	4.976821852360685	5.417852514885898	3.944858445807539	5.14649230697719	4.349082146391089	3.949534933017012	2.950468414150123	5.509062386361898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BS_W9N9844Q	0.6579999999999999	-0.25153876699596445
