Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_E2F_TARGETS	0.4929845888605819	-0.05689260112664193	7.525274023439068	2.246925744043369e-13	6.965469806534444e-12	19.728734277491803
HALLMARK_HEDGEHOG_SIGNALING	-0.24651027778051646	-0.03135387238544903	-7.2379307734701985	1.5932214308963443e-12	2.4694932178893338e-11	17.817454268786058
HALLMARK_G2M_CHECKPOINT	0.4183453852827424	-0.05536520678356886	6.810717754048696	2.6213599650031586e-11	2.6992894305792687e-10	15.089415959300137
HALLMARK_KRAS_SIGNALING_DN	-0.14333711295857862	-0.014778824719133577	-6.766170193688712	3.48295410397325e-11	2.6992894305792687e-10	14.812927192611006
HALLMARK_MYC_TARGETS_V1	0.38907482898623247	-0.02075028552555787	6.562052893241455	1.2563584936202425e-10	7.789422660445504e-10	13.565651006436838
HALLMARK_MYC_TARGETS_V2	0.3166152854594628	-0.029338970095335096	5.3755944620915255	1.1421720360476596e-7	5.901222186246242e-7	6.974840873413891
KEGG_SPLICEOSOME	0.279370597639961	-0.010538387261656778	4.5532216335681035	6.548222296924477e-6	2.8999270172094113e-5	3.0989096034263266
HALLMARK_DNA_REPAIR	0.19472102111223963	-0.01701081239023932	4.312130989924252	1.9258208714434842e-5	7.462555876843502e-5	2.0748356636957404
HALLMARK_GLYCOLYSIS	0.13043623976628016	-0.026087940454089822	3.966361875186397	8.292230516633178e-5	2.8562127335069837e-4	0.6970776906428906
HALLMARK_KRAS_SIGNALING_UP	-0.15993895664757357	-0.02981738358400195	-3.914877809845947	1.0215063222503907e-4	3.1666695989762114e-4	0.5011927784283632
HALLMARK_MTORC1_SIGNALING	0.14925956014987277	-0.028677318386745372	3.773919071574057	1.786884657212876e-4	5.035765852145378e-4	-0.022742339745885687
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.13585762367260362	-0.019356550356028637	3.1681691330070274	0.0016217218729286	0.004189448171732217	-2.065543085050672
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.17180014937632193	-0.0065179343422093455	-2.9310001829595986	0.0035232934900017803	0.008401699860773475	-2.7719235254578667
HALLMARK_PROTEIN_SECRETION	-0.1331265352943444	-0.007739073967989946	-2.7034511026538564	0.0070808434775684655	0.015679010557473033	-3.399601273285159
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.15944779412631674	-0.016360103656903085	-2.5853364474415077	0.009992069456411722	0.020650276876584227	-3.705966902652923
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.16195921388678491	-0.012156275975577259	-2.4330456958710087	0.015299322456343637	0.029642437259165797	-4.081267570391975
HALLMARK_BILE_ACID_METABOLISM	-0.08406916500625604	-0.01229465043822631	-2.377155763659904	0.01779769780984764	0.03245462541795746	-4.213414563530945
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.11553969983500698	-0.028235895171090028	-2.0694670604564034	0.038982269074949706	0.0671361300735245	-4.886959139800447
