Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_APOPTOSIS	0.403662298554257	-0.026235138050443203	9.705993175759733	4.8435213909638536e-21	1.5014916311987946e-19	36.898611002629906
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.39283395606171906	-0.03143422944910343	9.365185041734641	9.016206428979731e-20	1.0326120710824896e-18	34.0175168029731
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5405345028544404	-0.006861125153055978	9.334535227860014	1.1682294379440097e-19	1.0326120710824896e-18	33.7623646253154
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5797927339197994	-0.0038545090982817056	9.31894777812729	1.3324026723645026e-19	1.0326120710824896e-18	33.632855580773445
HALLMARK_P53_PATHWAY	0.3469324205049947	-0.02757082837648103	8.679557614756684	2.529749631574056e-17	1.5684447715759148e-16	28.469746538557928
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.4104541621942667	-0.025841900939133265	8.628319212594352	3.803299028570524e-17	1.965037831428104e-16	28.068823957158386
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.4651126634983055	-0.0028624441166512477	8.5126783175545	9.479084778552612e-17	4.197880401930443e-16	27.17110420467659
HALLMARK_IL2_STAT5_SIGNALING	0.3580152888046761	-0.018720508321071194	8.266134774592908	6.427667255530789e-16	2.4907210615181807e-15	25.29048995628203
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.42213345981470224	-0.0228183633803684	7.824014879849397	1.775402926364879e-14	6.115276746367917e-14	22.033633886826195
HALLMARK_FATTY_ACID_METABOLISM	0.30126749240087125	-0.009376398601252662	7.567124589532478	1.1401758114165206e-13	3.534545015391214e-13	20.21083888054469
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.2851017573158748	-0.028255858530809957	7.3097203152265795	6.981054343948379e-13	1.9673880423854525e-12	18.436713605958964
HALLMARK_KRAS_SIGNALING_UP	0.2715385481618692	-0.0239886216167594	7.120805648280268	2.5530763636825146e-12	6.5954472728464964e-12	17.168436043708883
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.30591044479866525	-0.02766979591490295	6.972448555895794	6.928834228717664e-12	1.5183998921198963e-11	16.1927276154654
HALLMARK_MTORC1_SIGNALING	0.30717782283515693	-0.03138368742402099	6.971114767548162	6.9907482977645546e-12	1.5183998921198963e-11	16.18403708222109
HALLMARK_GLYCOLYSIS	0.2499613712083274	-0.030571791134473402	6.96365662659955	7.347096252193046e-12	1.5183998921198963e-11	16.13546908412064
HALLMARK_BILE_ACID_METABOLISM	0.22963317890317647	-0.007111074302410953	6.116401045881435	1.5523893462749475e-9	3.007754358407711e-9	10.919084730107528
HALLMARK_PROTEIN_SECRETION	0.30920819606230815	-0.01777087837006703	5.891749238956279	5.809898561731966e-9	1.0594520906687702e-8	9.637944171702653
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.3206583310647711	-0.01122628204001356	5.6468774902652346	2.332753750442509e-8	4.0175203479843214e-8	8.291261522851403
HALLMARK_TGF_BETA_SIGNALING	0.22525240546488567	-0.033951839265586634	4.999640082718204	7.183224960350553e-7	1.1719998619519325e-6	4.985991521426367
HALLMARK_NOTCH_SIGNALING	0.1984826701912191	-0.030098942483312272	4.848131571340867	1.5205620057426315e-6	2.3568711089010788e-6	4.266370337062284
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.20124584483824065	-0.03131318018315178	4.3292678608107416	1.7028425915684086e-5	2.5137200161247938e-5	1.9601584683135052
HALLMARK_DNA_REPAIR	0.16076528607448995	-0.03300424919511623	3.5648940833118927	3.874758118499676e-4	5.459886439704089e-4	-0.9832929397826238
HALLMARK_HEDGEHOG_SIGNALING	0.08995457065273053	-0.029993930341349596	2.587224919243127	0.009865564146383635	0.013297064719038812	-3.9410863290606786
