Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_NOTCH_SIGNALING	-0.4268798758676753	-0.02723266612575646	-12.55712376873854	7.022989891645153e-32	2.1771268664099975e-30	61.48233237954882
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.6766818996303271	-0.012156275975577259	-11.346351621766706	6.909893235598948e-27	1.0710334515178369e-25	50.08484902663831
HALLMARK_IL2_STAT5_SIGNALING	-0.43964365951772993	-0.0247304061897454	-11.15316509421651	4.0620062302254926e-26	4.197406437899676e-25	48.33017218203547
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.6134711284331705	-0.016360103656903085	-11.036493447989441	1.173382652066582e-25	9.09371555351601e-25	47.27953737252985
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.5736925129151672	-0.0065179343422093455	-10.797204678174362	1.011464509107907e-24	6.271079956469023e-24	45.14658463191033
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.5402385763028766	-0.028235895171090028	-10.699993016210806	2.4062640743843044e-24	1.2432364384318907e-23	44.28861438177989
HALLMARK_E2F_TARGETS	0.6507555544487301	-0.05689260112664193	10.442925219389908	2.3240787817596468e-23	1.0292348890649865e-22	42.044144511998816
HALLMARK_BILE_ACID_METABOLISM	-0.3304262256800569	-0.01229465043822631	-10.24142675323746	1.3410558333027108e-22	5.196591354048005e-22	40.3101010371891
HALLMARK_G2M_CHECKPOINT	0.5928296566828879	-0.05536520678356886	10.194420078383786	2.012011627372265e-22	6.9302622720600245e-22	39.9088274457742
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.39883950248164957	-0.02929875755804589	-10.17548219208745	2.3684291817155433e-22	7.342130463318185e-22	39.74751507402711
HALLMARK_KRAS_SIGNALING_UP	-0.36899586588826855	-0.02981738358400195	-9.735245638692685	9.913152197864574e-21	2.7937065284891074e-20	36.05553628377775
HALLMARK_APOPTOSIS	-0.36439957335361134	-0.03216515008113063	-9.410132779222126	1.453781331955873e-19	3.7556017742193387e-19	33.40239942698165
HALLMARK_P53_PATHWAY	-0.32776723452954715	-0.023723655111159925	-9.255302907868225	5.108055242208902e-19	1.2180747116036612e-18	32.161516300061855
HALLMARK_MYC_TARGETS_V1	0.5164080167966765	-0.02075028552555787	9.068221671099424	2.28656431659932e-18	5.0631067010413515e-18	30.682084252055223
HALLMARK_MYC_TARGETS_V2	0.49631977840452124	-0.029338970095335096	8.85578279450069	1.2213542223201676e-17	2.5241320594616798e-17	29.02906254532377
KEGG_SPLICEOSOME	0.48725593954701263	-0.010538387261656778	8.34672482984658	6.015711446192934e-16	1.1655440926998808e-15	25.188061273349877
HALLMARK_FATTY_ACID_METABOLISM	-0.2449693556578809	-0.005165852523989827	-7.3377260683231125	8.109200013425052e-13	1.478736473036333e-12	18.103011158306405
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.3389507867295064	-0.03803484542829337	-7.25819774807887	1.3879365212470683e-12	2.3903351199255068e-12	17.575837425695127
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.26596257694624	-0.02619125344924031	-7.086265245371474	4.3659850075746754e-12	7.123449222884996e-12	16.452299383120685
HALLMARK_TGF_BETA_SIGNALING	-0.2633323163588858	-0.025778530325996925	-6.210545497800813	1.0607389014455052e-9	1.644145297240533e-9	11.082686676216813
HALLMARK_KRAS_SIGNALING_DN	-0.12716799709030127	-0.014778824719133577	-5.996055310020886	3.7212247651608624e-9	5.493236558094607e-9	9.860291652247188
HALLMARK_DNA_REPAIR	0.23944665619333225	-0.01701081239023932	5.393339418832531	1.0395551911580331e-7	1.4648277693590466e-7	6.628449979441993
HALLMARK_MITOTIC_SPINDLE	0.1893657981269083	-0.03830002716277652	5.1142629395358625	4.3942422637993687e-7	5.922674355555671e-7	5.2358254544368785
HALLMARK_GLYCOLYSIS	-0.1607020354886028	-0.026087940454089822	-4.96332181822025	9.327962497294549e-7	1.2048618225672125e-6	4.5105595759654635
HALLMARK_PROTEIN_SECRETION	-0.23249906784152863	-0.007739073967989946	-4.827104702598012	1.8100562451755425e-6	2.2444697440176727e-6	3.873064394819372
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.17367148121033676	-0.021445341495263615	-4.792860010404329	2.1330696816154562e-6	2.5432753896184288e-6	3.715354704911399
HALLMARK_HEDGEHOG_SIGNALING	-0.1444812138376009	-0.03135387238544903	-4.144138557781983	3.9643622044091854e-5	4.5516751235809165e-5	0.9244692811837742
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.16233246274531737	-0.019356550356028637	3.8305777819409927	1.429920457554151e-4	1.5831262208635243e-4	-0.288340256013794
