Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_BILE_ACID_METABOLISM	-0.45227569317485017	-0.008533333393691628	-14.716162467651115	2.5714706735357375e-43	7.971559087960787e-42	87.49252886350443
HALLMARK_IL2_STAT5_SIGNALING	-0.521922427482299	-0.021598602367889266	-14.430861017884252	6.729522857674893e-42	1.0430760429396084e-40	84.24751100464202
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.7556726564736446	-0.005924587985299194	-14.294626917784548	3.1587670987580183e-41	3.2640593353832855e-40	82.71071088961708
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.5173481723803778	-0.030767322286665875	-14.254117597939242	4.99463161645278e-41	3.870839502750905e-40	82.25535640541737
HALLMARK_NOTCH_SIGNALING	-0.4703101737050515	-0.03237432626719774	-14.063507526285838	4.2703563192941705e-40	2.6476209179623857e-39	80.12282784727554
HALLMARK_APOPTOSIS	-0.48708970088084613	-0.028890127099596832	-13.687045464611028	2.816079277443592e-38	1.454974293345856e-37	75.960891367896
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.6778830481618656	-0.009377647481017458	-13.657565513835793	3.8982642457750957e-38	1.726374165986114e-37	75.63783607506674
HALLMARK_KRAS_SIGNALING_UP	-0.42237816471339895	-0.02587820335576858	-13.12197164507393	1.3321083651369627e-35	5.161919914905731e-35	69.84324122686887
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.5308140401210452	-0.027083402132459897	-13.03539746467126	3.3747052545839794e-35	1.1623984765789264e-34	68.9201907892711
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.601937727016397	-0.0050237002889362	-12.795046921037764	4.367264142465847e-34	1.3538518841644126e-33	66.3780040230069
HALLMARK_P53_PATHWAY	-0.4347276200391505	-0.029089047594104037	-12.718253039439638	9.834106242744713e-34	2.771429941137147e-33	65.57217044711238
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.5715153347903777	-0.024159116601040045	-12.31605169249846	6.55720254220299e-32	1.6939439900691059e-31	61.40364021697431
HALLMARK_FATTY_ACID_METABOLISM	-0.4180750814853079	-0.011619316635881836	-12.305400245928924	7.319897930365224e-32	1.7455141218563227e-31	61.29445030400818
HALLMARK_GLYCOLYSIS	-0.3482463897841982	-0.03322744413069784	-11.272701419172765	2.3167338904338595e-27	5.129910757389261e-27	51.016937486353925
HALLMARK_TGF_BETA_SIGNALING	-0.4160366874266942	-0.03639208293487192	-10.800274781692632	2.148074655198156e-25	4.439354287409523e-25	46.52863842100132
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.3957035357556259	-0.0339222020107507	-10.577265131987282	1.7365155209635656e-24	3.3644988218669084e-24	44.45882307647071
HALLMARK_G2M_CHECKPOINT	0.4749372651613519	-0.07432649009424426	9.29090214185776	1.5786055062177597e-19	2.878633570161797e-19	33.16553409678451
HALLMARK_MTORC1_SIGNALING	-0.3621644884122706	-0.03384246721258509	-9.277682835666992	1.7647636453093815e-19	3.039315166921713e-19	33.055420044858224
HALLMARK_E2F_TARGETS	0.5083436608477133	-0.06944216485129559	9.190751710379942	3.662023060047953e-19	5.974879729551923e-19	32.334416777775445
HALLMARK_PROTEIN_SECRETION	-0.3958807150876588	-0.019891792219111592	-8.49338201419705	1.0513988177956822e-16	1.6296681675833075e-16	26.749831309303
HALLMARK_KRAS_SIGNALING_DN	-0.163748252486113	-0.0026447913749005954	-8.359850870117919	2.983929921733582e-16	4.404848932082907e-16	25.721801427789696
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.27390774693749353	-0.029618161927966066	-7.794157918450852	2.1341392240741036e-14	3.007196179377146e-14	21.518419996823116
KEGG_SPLICEOSOME	0.327585574286497	-0.025832063398125393	6.439236773890366	2.1279027743708422e-10	2.868042869804179e-10	12.491523974024805
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.2973679512479548	-0.013576822294538047	-5.800852938421272	9.67990260849716e-9	1.2503207535975499e-8	8.771897485599897
HALLMARK_HEDGEHOG_SIGNALING	-0.15618707582127417	-0.029965229194326776	-5.014686201195848	6.616625313867302e-7	8.204615389195455e-7	4.682375865336827
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.14146473460326975	-0.04224113107542587	-4.615521810830329	4.602220126201895e-6	5.4872624581637975e-6	2.8189520100511007
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.186678517844883	-0.03232206059873259	-4.461265308107068	9.379564214021355e-6	1.076912928276526e-5	2.1379335161585686
HALLMARK_MITOTIC_SPINDLE	0.1021698352133694	-0.060262835949099376	3.2213777580968737	0.0013301017289113956	0.0014726126284376167	-2.528002894271169
HALLMARK_MYC_TARGETS_V1	0.13780585357180206	-0.028476528053950557	2.499513364662402	0.012646273101993667	0.013518429867648401	-4.568857700232457
