Filename	Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
cluster_10_pathway_stranded.tsv	HALLMARK_BILE_ACID_METABOLISM	-0.45825679580456125	-0.00853333127505159	-15.29696903296519	3.004474772714709e-46	9.313871795415598e-45	94.18527931317897
cluster_10_pathway_stranded.tsv	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.5278613313484135	-0.030767321177853635	-14.942099195401365	1.8912352482942555e-44	2.3147979673057258e-43	90.0658458768032
cluster_10_pathway_stranded.tsv	HALLMARK_IL2_STAT5_SIGNALING	-0.526990718912947	-0.02159862458860919	-14.927500030808279	2.2401270651345732e-44	2.3147979673057258e-43	89.89749339849823
cluster_10_pathway_stranded.tsv	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.7607709344843878	-0.0059245869066839995	-14.72800084653204	2.2445399699794633e-43	1.739518476734084e-42	87.60599763851826
cluster_10_pathway_stranded.tsv	HALLMARK_NOTCH_SIGNALING	-0.47486527711615095	-0.03237432355912559	-14.541756673533888	1.9002924943514126e-42	1.1781813464978757e-41	85.48222719824741
cluster_10_pathway_stranded.tsv	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.6826049563798066	-0.00937767110042385	-14.067572167161657	4.080911887165348e-40	2.1084711417020965e-39	80.14472555360848
cluster_10_pathway_stranded.tsv	HALLMARK_APOPTOSIS	-0.48917313822657066	-0.02889015670980083	-14.05147557125002	4.8881165772008645e-40	2.1647373413318117e-39	79.96534061564498
cluster_10_pathway_stranded.tsv	HALLMARK_KRAS_SIGNALING_UP	-0.4298590107324004	-0.025878594031238173	-13.689993641953427	2.726431663260914e-38	1.0564922695136042e-37	75.96901708943372
cluster_10_pathway_stranded.tsv	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.5329528619201441	-0.027083400879474827	-13.37150009555538	8.950892026430227e-37	3.083085031325967e-36	72.50021508871274
cluster_10_pathway_stranded.tsv	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.6079310051503707	-0.005023698880108244	-13.217663885728884	4.747631047702139e-36	1.471765624787663e-35	70.84279789920143
cluster_10_pathway_stranded.tsv	HALLMARK_P53_PATHWAY	-0.4358570629733732	-0.02908904662732365	-13.020815590460774	3.9458228128362187e-35	1.112004610890207e-34	68.73952468324873
cluster_10_pathway_stranded.tsv	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.5792293441950077	-0.02415909239177432	-12.771448021519547	5.607250880700701e-34	1.4485398108476812e-33	66.10396758068589
cluster_10_pathway_stranded.tsv	HALLMARK_FATTY_ACID_METABOLISM	-0.41842644358711845	-0.011619316196018215	-12.568095022710375	4.766325998487611e-33	1.136585430408584e-32	63.97914389772931
cluster_10_pathway_stranded.tsv	HALLMARK_GLYCOLYSIS	-0.34913080462364837	-0.03322744370898544	-11.52992866347592	1.858282606333777e-28	4.114768628310506e-28	53.4899358345241
cluster_10_pathway_stranded.tsv	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.4037792487414366	-0.0339222020107507	-11.037298941821222	2.2520453967178036e-26	4.6542271532167944e-26	48.73388315778613
cluster_10_pathway_stranded.tsv	HALLMARK_TGF_BETA_SIGNALING	-0.41439576204958034	-0.03639220872088223	-10.960529952592536	4.693363850291463e-26	9.093392459939709e-26	48.006169102552626
cluster_10_pathway_stranded.tsv	HALLMARK_E2F_TARGETS	0.5621152835581734	-0.06944216455778567	10.488862200973479	3.941843913952477e-24	6.837447614287916e-24	43.61704451029936
cluster_10_pathway_stranded.tsv	HALLMARK_G2M_CHECKPOINT	0.5200469308936081	-0.07432649029668205	10.48808864525203	3.970130872812338e-24	6.837447614287916e-24	43.60996368550294
cluster_10_pathway_stranded.tsv	HALLMARK_KRAS_SIGNALING_DN	-0.18283512125893386	-0.0026448826385041075	-9.622331224043178	9.272572521180009e-21	1.5128934113504225e-20	35.93521334331162
cluster_10_pathway_stranded.tsv	HALLMARK_MTORC1_SIGNALING	-0.35434897946372934	-0.03384248323676415	-9.224969890186486	2.7493208334837406e-19	4.261447291899798e-19	32.58549426461218
cluster_10_pathway_stranded.tsv	HALLMARK_PROTEIN_SECRETION	-0.393298019323425	-0.019891792273316375	-8.588214400930216	4.9723812593038706e-17	7.340181858972381e-17	27.455137319986243
cluster_10_pathway_stranded.tsv	HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.28645930589115426	-0.029618162422700673	-8.332418342288896	3.691100358180021e-16	5.201095959253666e-16	25.478984211607823
cluster_10_pathway_stranded.tsv	KEGG_SPLICEOSOME	0.3695743339354922	-0.02583208623792915	7.451222079590013	2.5198120423770407e-13	3.396268404942968e-13	19.058040375903108
cluster_10_pathway_stranded.tsv	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.30224005651356795	-0.013576821892595205	-6.004055547185339	2.980467728358487e-9	3.84977081579638e-9	9.881789672926711
cluster_10_pathway_stranded.tsv	HALLMARK_HEDGEHOG_SIGNALING	-0.16545387653459961	-0.029965223237660904	-5.4162832114037265	8.171078833178076e-8	1.0132137753140814e-7	6.666247916902567
cluster_10_pathway_stranded.tsv	HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.13638704054345313	-0.04224113110362464	-4.522526711665231	7.087196076530867e-6	8.45011839894065e-6	2.3686611921524303
cluster_10_pathway_stranded.tsv	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.16773517836579893	-0.032322061402687646	-4.067229075147486	5.254231742479319e-5	6.032636445068848e-5	0.4609813882787055
cluster_10_pathway_stranded.tsv	HALLMARK_MITOTIC_SPINDLE	0.10888930284129908	-0.060262836233106916	3.4953564774798656	5.008847256548523e-4	5.545509462607294e-4	-1.6598566147731306
cluster_10_pathway_stranded.tsv	HALLMARK_MYC_TARGETS_V1	0.1846040606006745	-0.0284765285174657	3.416639299936548	6.677082919252437e-4	7.13757139644226e-4	-1.9275146429576777
cluster_10_pathway_stranded.tsv	HALLMARK_MYC_TARGETS_V2	0.11129461850069862	-0.046597139024337944	2.201264077791576	0.02801730349246906	0.028951213608884696	-5.302548010554784
