Geneset	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.5531082766496982	-0.03803484542829337	-7.975160235523124	9.29765990113785e-15	2.8822745693527337e-13	22.81106886399914
HALLMARK_IL2_STAT5_SIGNALING	-0.4791833613240463	-0.0247304061897454	-7.699871381583392	6.637814967884945e-14	1.0288613200221665e-12	20.88776400565098
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.6653785075554702	-0.012156275975577259	-6.980236689117826	8.767251516677796e-12	7.1401538898428e-11	16.119056065443168
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.42846437058341014	-0.02929875755804589	-6.972629170231512	9.213101793345547e-12	7.1401538898428e-11	16.07070124145342
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.6021977026562418	-0.016360103656903085	-6.799221301344391	2.8207082286561344e-11	1.7488391017668034e-10	14.98043650104667
HALLMARK_NOTCH_SIGNALING	-0.3764021163880926	-0.02723266612575646	-6.764591700624536	3.517454830286635e-11	1.8173516623147613e-10	14.765467680174632
HALLMARK_KRAS_SIGNALING_UP	-0.39848840056543866	-0.02981738358400195	-6.733610575780945	4.2821811755983774e-11	1.8963945206221385e-10	14.573930047901689
HALLMARK_BILE_ACID_METABOLISM	-0.33406399315033164	-0.01229465043822631	-6.566815357792361	1.2195473604259654e-10	4.725746021650616e-10	13.555511297522008
HALLMARK_APOPTOSIS	-0.394419904347011	-0.03216515008113063	-6.541552527854941	1.426391379939219e-10	4.913125864235087e-10	13.403150815843437
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.5203421564813742	-0.028235895171090028	-6.480666356252107	2.076580725561827e-10	6.437400249241665e-10	13.03800062078041
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.5456525358390714	-0.0065179343422093455	-6.444740671008452	2.5882752359512587e-10	7.294230210408093e-10	12.823911691828956
HALLMARK_P53_PATHWAY	-0.3540244529117032	-0.023723655111159925	-6.427240833456767	2.880393657174875e-10	7.441016947701761e-10	12.719994778749252
KEGG_SPLICEOSOME	0.5536601432656933	-0.010538387261656778	6.1590485545492	1.4396806147213444e-9	3.433084542797052e-9	11.157846887567105
HALLMARK_G2M_CHECKPOINT	0.540660898490354	-0.05536520678356886	5.854836799159107	8.340858151654704e-9	1.846904305009256e-8	9.455981446723447
HALLMARK_E2F_TARGETS	0.5502705434551153	-0.05689260112664193	5.52001363375503	5.293514038422927e-8	1.0939929012740717e-7	7.670735766332202
HALLMARK_GLYCOLYSIS	-0.24933103228796635	-0.026087940454089822	-5.146601148273883	3.7321271698696046e-7	7.230996391622359e-7	5.790684518358869
HALLMARK_DNA_REPAIR	0.31214934894937635	-0.01701081239023932	4.659981917520862	3.99733974041677e-6	7.289266585465875e-6	3.5204158340576104
HALLMARK_MITOTIC_SPINDLE	0.2550955537109807	-0.03830002716277652	4.575144757248647	5.921542828242437e-6	1.0198212648639753e-5	3.14580736798154
HALLMARK_KRAS_SIGNALING_DN	-0.1439210329261747	-0.014778824719133577	-4.465103110626724	9.768790559957352e-6	1.5938553018877784e-5	2.6693912449558805
HALLMARK_MYC_TARGETS_V1	0.37096103494937227	-0.02075028552555787	4.10933785260005	4.5910207675599556e-5	7.116082189717932e-5	1.2031117105821743
HALLMARK_FATTY_ACID_METABOLISM	-0.2015391570284717	-0.005165852523989827	-3.893317692881592	1.113940861819206e-4	1.6443888912569233e-4	0.3685282306699973
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.22281847626701548	-0.02619125344924031	-3.8389858420422533	1.3833006177158184e-4	1.9491963249631988e-4	0.16531171745771722
HALLMARK_TGF_BETA_SIGNALING	-0.22602030332769815	-0.025778530325996925	-3.4732047551149137	5.559642108085136e-4	7.493430667419096e-4	-1.132162870414044
HALLMARK_MYC_TARGETS_V2	0.23039457345668726	-0.029338970095335096	2.577056891491885	0.010231481192128366	0.01321566320649914	-3.78207001529035
HALLMARK_MTORC1_SIGNALING	-0.14318802446822324	-0.028677318386745372	-2.4150950056831633	0.01606564911658747	0.019921404904568462	-4.17952371807583
HALLMARK_HEDGEHOG_SIGNALING	-0.1257425670817231	-0.03135387238544903	-2.3811623780608495	0.017607277440747984	0.02099329233319952	-4.259599064088919
