pathway	treat_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.2115470052089763	-0.09859438427990493	-0.11295262092907137	2	0.4
KEGG_ADHERENS_JUNCTION	-0.16874338445727952	-0.013335159438698249	-0.15540822501858126	3	0.7
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.05962531114596357	-0.16129205517911901	0.10166674403315545	6	0.7
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.2987564924108019	-0.3108607799872909	0.6096172723980928	9	0.1
KEGG_ALZHEIMERS_DISEASE	0.1706219049456535	-0.2201409569188045	0.39076286186445797	6	0.7
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.5176336746302607	-0.7224118316268583	1.240045506257119	9	0.1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.6217378152880144	-0.40125197838782223	1.0229897936758365	9	0.1
KEGG_APOPTOSIS	0.009015111405861578	-0.25546829387681746	0.26448340528267905	8	0.2
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.09670079635950327	0.13765642775881645	-0.23435722411831972	4	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.6984858999236659	-0.5878115554498574	1.2862974553735234	9	0.1
KEGG_AXON_GUIDANCE	0.2208196938412771	-0.020659094948742185	0.24147878879001927	7	0.4
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.26206672300276124	-0.41007824206943455	0.6721449650721958	9	0.1
KEGG_BASAL_CELL_CARCINOMA	0.262798634812283	-0.1877133105802112	0.4505119453924942	5	1
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.4719147842390202	0.2773972602739709	-0.749312044512991	1	0.2
KEGG_BASE_EXCISION_REPAIR	-0.368721461187219	0.24200913242008928	-0.6107305936073083	2	0.4
KEGG_BLADDER_CANCER	-0.3324107242106294	0.24885931180791718	-0.5812700360185465	0	0.1
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.3700168611763178	0.24073155571649227	-0.6107484168928101	1	0.2
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.8043230944254837	-0.8293515358361887	1.6336746302616723	9	0.1
KEGG_CELL_CYCLE	-0.18835785827994997	0.0510858999033492	-0.23944375818329916	3	0.7
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.20385637669176884	-0.13965054889944462	-0.06420582779232423	2	0.4
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.14391640634311448	-0.1002078536095669	-0.04370855273354758	5	1
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.8589306029579068	-0.9112627986348246	1.7701934015927314	9	0.1
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.24459613196814886	0.1558589306029566	-0.40045506257110547	3	0.7
KEGG_COLORECTAL_CANCER	0.126418129413645	-0.24334257944880525	0.36976070886245027	9	0.1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.11686181299793881	0.3006675356479859	-0.41752934864592467	2	0.4
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.299203640500567	-0.1604095563139989	0.4596131968145659	6	0.7
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.05997637763721117	-0.13466051778900331	0.07468414015179214	4	1
KEGG_DILATED_CARDIOMYOPATHY	0.6984858999236659	-0.5878115554498574	1.2862974553735234	9	0.1
KEGG_DNA_REPLICATION	-0.3797887234313316	0.2842415316642134	-0.664030255095545	1	0.2
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.05612013452497679	0.11557485691580695	-0.17169499144078373	3	0.7
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.2810011376564308	0.28327645051194555	-0.5642775881683764	1	0.2
KEGG_ECM_RECEPTOR_INTERACTION	0.5108077360637092	-0.46075085324232656	0.9715585893060358	9	0.1
KEGG_ENDOCYTOSIS	-0.028326291180649377	-0.09284046465053072	0.06451417346988135	5	1
KEGG_ENDOMETRIAL_CANCER	-0.014787629073344093	-0.2028630579969704	0.1880754289236263	7	0.4
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.08995666250823106	-0.11001740688349473	0.020060744375263673	5	1
KEGG_ERBB_SIGNALING_PATHWAY	-0.18199058210764876	-0.012010221766467877	-0.16998036034118089	2	0.4
KEGG_ETHER_LIPID_METABOLISM	-0.276450511945399	-0.05119453924915115	-0.22525597269624784	3	0.7
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.30741790943499525	0.07606689151845186	-0.3834848009534471	1	0.2
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.29130378205397894	0.05247896668946734	-0.3437827487434463	1	0.2
