SpliceID	dPSI	Uniprot	Type
APOA2:161222917-161223050	0.179	mod_res	A3SS
APOA2:161222917-161223266	0.338	mod_res	A3SS
ARL6IP4:122981570-122981879	0.593	mod_res	A3SS
ASNS:97854579-97854754	-0.169	mod_res	A3SS
C2CD2L:119113610-119113712	0.29	mod_res	A3SS
CAP1:40059333-40059458	-0.328	mod_res	A3SS
DCLK2:150220702-150220778	-0.24	mod_res	A3SS
DDX5:64500548-64500882	-0.119	mod_res	A3SS
DMTN:22069015-22069518	0.102	mod_res	A3SS
DNAJC11:6652828-6653387	0.115	mod_res	A3SS
EEF1D:143586728-143586852	0.223	mod_res	A3SS
ERCC6L2:95970575-95973088	-0.175	mod_res	A3SS
FBXW5:136942768-136943003	-0.128	mod_res	A3SS
FLYWCH1:2930409-2930880	-0.141	mod_res	A3SS
GGN:38385420-38387280	-0.111	mod_res	A3SS
HNRNPA2B1:26193250-26193694	-0.269	mod_res	A3SS
HSP90B1:103932278-103932418	-0.149	mod_res	A3SS
KAT6B:74981786-74985241	0.162	mod_res	A3SS
KRT8:52904657-52905079	-0.209	mod_res	A3SS
LIME1:63738007-63738499	0.186	mod_res	A3SS
LMNA:156114669-156115274	0.137	mod_res	A3SS
LMNA:156114669-156115274	-0.275	mod_res	A3SS
LRCH4:100577085-100577389	0.107	mod_res	A3SS
MAP7:136372500-136372649	-0.714	mod_res	A3SS
MARF1:15622933-15623126	0.439	mod_res	A3SS
MIB2:1623388-1623699	0.354	mod_res	A3SS
MOB1A:74172585-74172752	0.123	mod_res	A3SS
NFATC2:51523080-51524110	-0.211	mod_res	A3SS
NFRKB:129884744-129884882	0.146	mod_res	A3SS
NPM1:171406396-171407774	0.178	mod_res	A3SS
NUSAP1:41350987-41351129	-0.107	mod_res	A3SS
NUSAP1:41350990-41351129	-0.156	mod_res	A3SS
PABPC4:39563613-39563922	-0.22	mod_res	A3SS
PAM16:4341367-4341672	-0.152	mod_res	A3SS
PARP3:51943348-51943538	0.328	mod_res	A3SS
PFDN6:33289769-33289920	-0.109	mod_res	A3SS
PHF8:54042630-54042836	-0.138	mod_res	A3SS
PITPNM3:6471160-6471355	-0.259	mod_res	A3SS
PPARGC1A:23824279-23824384	0.112	mod_res	A3SS
PRRG2:49583374-49583717	0.3	mod_res	A3SS
PRXL2B:2588335-2588453	-0.165	mod_res	A3SS
PXN:120215102-120215417	0.174	mod_res	A3SS
RACK1:181236936-181237319	0.106	mod_res	A3SS
RNF8:37368377-37369218	-0.372	mod_res	A3SS
ROBO1:78635772-78636108	0.194	mod_res	A3SS
SAAL1:18083534-18083731	0.296	mod_res	A3SS
SCG5:32684556-32684669	-0.126	mod_res	A3SS
SCYL1:65538269-65538704	0.169	mod_res	A3SS
SIK3:116857809-116858699	0.125	mod_res	A3SS
SRA1:140551060-140552184	-0.138	mod_res	A3SS
SREK1:66164607-66164897	0.157	mod_res	A3SS
SRSF4:29159863-29160091	-0.393	mod_res	A3SS
STIMATE-MUSTN1:52834939-52835302	0.201	mod_res	A3SS
SYN1:47571900-47572999	0.435	mod_res	A3SS
TIMM44:7934088-7934241	0.386	mod_res	A3SS
TJAP1:43498922-43499100	-0.211	mod_res	A3SS
TJAP1:43498974-43499100	0.2	mod_res	A3SS
