Splice ID	Case	Sample	Cluster	CNS	Type	dPSI
SYN1:47571901-47572999_47571900-47572961_47574001-47574590	A3SS	BS_P7EY9DXG	6		Inclusion	0.534084179970973
RPGR:38287094-38288041_38287093-38287245_38290958-38291024	A3SS	BS_P7EY9DXG	6		Skipping	0.282459854014599
SYNJ1:32634861-32634884_32634860-32634881_32638907-32639125	A3SS	BS_P7EY9DXG	6		Skipping	0.166103759398495
SCAF4:31685049-31685240_31685048-31685174_31685397-31685484	A3SS	BS_P7EY9DXG	6		Inclusion	0.168611702127659
RALGAPB:38565356-38565478_38565358-38565478_38562531-38562697	A3SS	BS_P7EY9DXG	6		Skipping	0.155218666666667
HCK:32073716-32073818_32073718-32073818_32073318-32073361	A3SS	BS_P7EY9DXG	6		Skipping	0.211601147776185
ZNF544:58246711-58246794_58246745-58246794_58246300-58246427	A3SS	BS_P7EY9DXG	6		Inclusion	0.274777333333334
MEIS3:47414717-47414866_47414716-47414815_47415050-47415101	A3SS	BS_P7EY9DXG	6		Inclusion	0.318063977746872
EML2:45641641-45641748_45641640-45641745_45641917-45642041	A3SS	BS_P7EY9DXG	6		Inclusion	0.296753048780488
NFKBID:35896913-35897103_35896912-35897058_35897650-35897856	A3SS	BS_P7EY9DXG	6		Inclusion	0.361371941272431
MTRF1L:152991185-152991416_152991184-152991321_152992856-152992974	A3SS	BS_P7EY9DXG	6		Inclusion	0.159151271753681
KMT2C:152156205-152156274_152156204-152156271_152157760-152157922	A3SS	BS_P7EY9DXG	6		Skipping	0.27001013024602
KMT2C:152157761-152157922_152157760-152157854_152158862-152159072	A3SS	BS_P7EY9DXG	6		Skipping	0.128367156208277
KMT2C:152157761-152157925_152157760-152157854_152158862-152159072	A3SS	BS_P7EY9DXG	6		Skipping	0.101647606382978
HSF4:67167720-67167947_67167823-67167947_67167474-67167599	A3SS	BS_P7EY9DXG	6		Inclusion	0.392963691376701
HSF4:67169631-67169941_67169635-67169941_67169278-67169348	A3SS	BS_P7EY9DXG	6		Skipping	0.155921153846154
SRP14-DT:40064296-40064601_40064460-40064601_40045960-40046069	A3SS	BS_P7EY9DXG	6		Skipping	0.400745350500715
