SpliceID	Differential_freq	splicing_case	mean_dPSI	Uniprot	gene	Baseline_preference	Exon Coordinates	Average_TPM
CLK1:200856891-200857884_200856890-200856985_200857717-200857884	31	RI	0.231335187760779	Domains	CLK1	Skipping	200856891-200857884	47.75274952015355
CLK1:200859680-200861466_200859679-200859746_200861237-200861466	25	RI	0.349669876203577	Modifications	CLK1	Inclusion	200859680-200861466	47.75274952015355
CLK1:200859680-200861466_200859679-200859746_200861237-200861466	25	RI	0.349669876203577	Domains	CLK1	Inclusion	200859680-200861466	47.75274952015355
CLK1:200859680-200861466_200859679-200859746_200861237-200861466	25	RI	0.363330123796423	Modifications	CLK1	Skipping	200859680-200861466	47.75274952015355
CLK1:200859680-200861466_200859679-200859746_200861237-200861466	25	RI	0.363330123796423	Domains	CLK1	Skipping	200859680-200861466	47.75274952015355
CLK1:200860125-200860215_200859679-200859746_200861237-200861466	34	SE	0.293723901098901	Modifications	CLK1	Inclusion	200860125-200860215	47.75274952015355
CLK2:155263950-155264550_155263949-155264040_155264467-155264550	16	RI	0.258295546558704	Domains	CLK2	Inclusion	155263950-155264550	17.350834932821495
CLK2:155265860-155265954_155264644-155264774_155268009-155268126	5	SE	0.238055374592833	Domains	CLK2	Inclusion	155265860-155265954	17.350834932821495
CLK2:155266729-155266895_155264644-155264774_155268009-155268126	3	SE	0.200344497607655	Domains	CLK2	Inclusion	155266729-155266895	17.350834932821495
CLK2:155268708-155268792_155268292-155268359_155269487-155269713	31	SE	0.201920329670329	Modifications	CLK2	Inclusion	155268708-155268792	17.350834932821495
CLK2:155268708-155268795_155268292-155268359_155269487-155269713	18	SE	0.201621399176956	Modifications	CLK2	Inclusion	155268708-155268795	17.350834932821495
CLK2:155268708-155268795_155268707-155268792_155269487-155269713	5	A3SS	0.219106060606059	Modifications	CLK2	Inclusion	155268708-155268795	17.350834932821495
CLK2:155268708-155268795_155268707-155268792_155269487-155269713	5	A3SS	0.202893939393941	Modifications	CLK2	Skipping	155268708-155268795	17.350834932821495
CLK2:155269488-155269716_155269487-155269713_155270807-155270977	3	A3SS	0.20237585733882	Modifications	CLK2	Inclusion	155269488-155269716	17.350834932821495
CLK3:74620009-74622216_74620008-74620225_74622119-74622216	42	RI	0.203473251028807	Modifications	CLK3	Skipping	74620009-74622216	25.41696737044146
CLK3:74620009-74622216_74620008-74620225_74622119-74622216	42	RI	0.203473251028807	Domains	CLK3	Skipping	74620009-74622216	25.41696737044146
CLK3:74620009-74622216_74620008-74620225_74622493-74622560	17	A5SS	0.200174211248284	Modifications	CLK3	Inclusion	74620009-74622216	25.41696737044146
CLK3:74620009-74622216_74620008-74620225_74622493-74622560	17	A5SS	0.200174211248284	Domains	CLK3	Inclusion	74620009-74622216	25.41696737044146
CLK3:74622120-74622216_74619966-74620225_74622493-74622560	4	SE	0.217891632373115	Modifications	CLK3	Inclusion	74622120-74622216	25.41696737044146
CLK3:74622120-74622216_74619966-74620225_74622493-74622560	4	SE	0.217891632373115	Domains	CLK3	Inclusion	74622120-74622216	25.41696737044146
CLK3:74622120-74622560_74622119-74622216_74622493-74622560	24	RI	0.204085048010974	Modifications	CLK3	Skipping	74622120-74622560	25.41696737044146
CLK3:74622120-74622560_74622119-74622216_74622493-74622560	24	RI	0.204085048010974	Domains	CLK3	Skipping	74622120-74622560	25.41696737044146
CLK3:74622120-74622560_74622493-74622560_74620008-74620225	16	A3SS	0.206882030178326	Modifications	CLK3	Inclusion	74622120-74622560	25.41696737044146
CLK3:74622120-74622560_74622493-74622560_74620008-74620225	16	A3SS	0.206882030178326	Domains	CLK3	Inclusion	74622120-74622560	25.41696737044146
CLK4:178605825-178605865_178605302-178605382_178608375-178608458	4	SE	0.215154166666667	Domains	CLK4	Skipping	178605825-178605865	9.46440019193858
CLK4:178608376-178608458_178605302-178605382_178612415-178612545	5	SE	0.204248275862069	Domains	CLK4	Inclusion	178608376-178608458	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178617343-178618778	25	RI	0.351410714285714	Modifications	CLK4	Inclusion	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178617343-178618778	25	RI	0.351410714285714	Domains	CLK4	Inclusion	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178617343-178618778	25	RI	0.356589285714286	Modifications	CLK4	Skipping	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178617343-178618778	25	RI	0.356589285714286	Domains	CLK4	Skipping	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178618555-178618778	37	RI	0.350986187845304	Modifications	CLK4	Inclusion	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178618555-178618778	37	RI	0.350986187845304	Domains	CLK4	Inclusion	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178618555-178618778	37	RI	0.352013812154696	Modifications	CLK4	Skipping	178616882-178618778	9.46440019193858
CLK4:178616882-178618778_178616881-178616948_178618555-178618778	37	RI	0.352013812154696	Domains	CLK4	Skipping	178616882-178618778	9.46440019193858
CLK4:178617344-178617434_178616881-178616948_178618555-178618778	34	SE	0.287927097661623	Modifications	CLK4	Inclusion	178617344-178617434	9.46440019193858
