splicing_case	SpliceID	dPSI	Uniprot
SE	PAX2:100786943-100787011_100781245-100781365_100806429-100806605	0.171139240506329	Modifications
SE	MRPL43:100983948-100984074_100983754-100983817_100986748-100986975	0.371799431009958	Modifications
SE	MRPL43:100983948-100984074_100983754-100983817_100987312-100987497	0.39355737704918	Modifications
SE	PPRC1:102146672-102147392_102144249-102144307_102148371-102148521	0.459410204081633	Modifications
SE	ADD3:110132305-110132400_110130362-110130486_110133325-110135565	0.581471879286694	Modifications
SE	ABLIM1:114453379-114453483_114451623-114451671_114465697-114465827	0.393818431911967	Modifications
SE	RSU1:16816973-16817084_16782033-16782084_16817314-16817424	0.142968449931412	Modifications
SE	ACBD5:27223207-27223239_27219722-27219857_27223337-27223452	0.387829903978052	Modifications
SE	WAC:28595695-28596041_28590719-28590832_28608185-28608593	0.173514403292181	Modifications
SE	SVIL:29532529-29533458_29531253-29531288_29550596-29551263	0.131675925925926	Modifications
SE	PARD3:34284135-34284245_34269656-34269899_34317106-34317338	0.137951790633609	Modifications
SE	CREM:35179134-35179276_35126809-35127193_35188199-35188260	0.2588125	Modifications
SE	CREM:35179134-35179276_35126809-35127193_35206894-35207051	0.267040816326531	Modifications
SE	CREM:35179134-35179276_35148367-35148491_35188199-35188260	0.348528571428572	Modifications
SE	CREM:35179134-35179276_35148367-35148491_35206894-35207051	0.342912087912088	Modifications
SE	PTPN20:46964986-46965137_46946562-46946675_46999911-46999974	0.531242320819113	Modifications
SE	FAM13C:59262434-59262645_59253716-59254443_59268552-59268691	0.263358974358974	Modifications
SE	ANK3:60068637-60076448_60067934-60068009_60080536-60080618	0.586289355322339	Modifications
SE	ANK3:60073872-60076454_60067934-60068009_60080536-60080618	0.644943786982249	Modifications
SE	ANK3:60082150-60082176_60080536-60080618_60082614-60082686	0.622149851632047	Modifications
SE	ANK3:60137342-60137353_60134270-60134373_60138963-60139087	0.486953051643192	Modifications
SE	ANAPC16:72223888-72224056_72215999-72216072_72230365-72230440	0.11027572016461	Modifications
SE	ANAPC16:72223888-72224056_72216011-72216138_72230365-72230440	0.135569272976681	Modifications
SE	GLUD1:87075968-87076023_87068062-87068157_87094324-87094397	0.226672413793103	Modifications
SE	SORBS1:95336521-95336805_95321962-95322021_95339132-95339327	0.11246887966805	Modifications
SE	SORBS1:95336521-95337294_95321962-95322021_95339132-95339327	0.102578146611342	Modifications
SE	SORBS1:95336521-95337294_95322745-95322805_95339132-95339327	0.650575308641975	Modifications
SE	SORBS1:95371326-95371427_95367649-95367699_95371983-95372049	0.631308347529812	Modifications
SE	SORBS1:95371326-95371427_95367649-95367699_95375972-95376056	0.282873715124816	Modifications
SE	SORBS1:95371326-95371427_95367649-95367699_95381684-95381799	0.331	Modifications
SE	SORBS1:95394611-95394673_95384237-95384285_95395000-95395075	0.289417637271215	Modifications
SE	SORBS1:95394611-95394673_95384237-95384285_95397219-95397283	0.217944444444444	Modifications
SE	SORBS1:95394611-95394673_95386990-95387119_95397219-95397283	0.283939393939394	Modifications
SE	SORBS1:95414494-95414655_95410632-95410777_95421960-95422073	0.449641274238228	Modifications
SE	SORBS1:95414494-95414862_95410632-95410777_95421960-95422073	0.502982068965518	Modifications
SE	SORBS1:95422190-95422216_95421960-95422073_95432447-95432576	0.316686896551724	Modifications
SE	LCOR:96954953-96955454_96952102-96952196_96980792-96995956	0.148090909090909	Modifications
SE	UBE4B:10106197-10106583_10105515-10105744_10117458-10117600	0.169661179698217	Modifications
SE	AMPD2:109620914-109621266_109619836-109620278_109625302-109625433	0.255674965421853	Modifications
SE	LRIF1:110951288-110952815_110949850-110950123_110963620-110963922	0.287707988980717	Modifications
SE	USP28:113852501-113852633_113841662-113841768_113875444-113875528	0.260947949526814	Modifications
SE	REXO2:114445979-114446087_114440655-114440739_114449845-114449917	0.5538	Modifications
SE	CEP164:117382796-117382942_117381700-117381868_117387202-117387412	0.411759945130316	Modifications
SE	TRIM33:114397940-114397990_114392789-114397860_114399456-114399609	0.187790123456791	Modifications
SE	CSDE1:114737471-114737563_114736757-114736855_114737962-114738072	0.101518518518519	Modifications
SE	SLC6A5:20601129-20601665_20599593-20599675_20614678-20614820	0.440125	Modifications
SE	VPS13D:12338231-12338305_12335704-12335827_12341779-12341885	0.439672627235213	Modifications
SE	VPS13D:12338231-12338305_12335704-12335827_12341782-12341885	0.392681755829904	Modifications
SE	IFTAP:36633284-36633438_36594498-36594641_36648015-36648155	0.3509375	Modifications
SE	IFTAP:36633284-36633438_36610080-36610239_36648015-36648155	0.316728671328671	Modifications
SE	AMBRA1:46508191-46508370_46494123-46494204_46541944-46542981	0.108741258741259	Modifications
SE	PRKAB2:147167767-147167933_147166845-147166939_147171988-147172167	0.212772290809328	Modifications
SE	TPM3:154169305-154169383_154156612-154159048_154170399-154170469	0.398025889967638	Modifications
SE	TPM3:154169305-154169383_154156968-154157721_154170399-154170469	0.105067215363512	Modifications
SE	TPM3:154171413-154171488_154170648-154170711_154172028-154172104	0.343770919067215	Modifications
SE	PBXIP1:154951795-154951919_154948132-154948366_154956068-154956121	0.489	Modifications
SE	CASP9:15506899-15507075_15495272-15495452_15518109-15518395	0.251945945945946	Modifications
SE	CASP9:15506899-15507133_15495272-15495452_15518109-15518395	0.214454545454545	Modifications
SE	SCAMP3:155261657-155261734_155260536-155260659_155262085-155262360	0.164262002743484	Modifications
SE	FDPS:155309753-155309965_155308913-155308965_155310042-155310205	0.109218106995885	Modifications
SE	FDPS:155309753-155309965_155308913-155308965_155312254-155312395	0.330780487804878	Modifications
SE	FDPS:155309753-155309965_155308958-155309076_155310042-155310205	0.355490250696379	Modifications
SE	FDPS:155309789-155309965_155308865-155308965_155310042-155310205	0.116639231824417	Modifications
SE	FDPS:155309789-155309965_155308865-155308965_155310063-155310205	0.105543577981651	Modifications
SE	FDPS:155309789-155309965_155308865-155308965_155312254-155312395	0.428757575757576	Modifications
SE	FDPS:155309789-155309965_155308915-155309076_155310042-155310205	0.351037552155772	Modifications
SE	FDPS:155309789-155309965_155308915-155309076_155310063-155310205	0.124316397228637	Modifications
